# X Y texture solid layer

# House 1
9 8 model#house_1 -1 10

# House 2
16 10 model#house_1 -1 10

# Path between houses
10 12 dirth_path_right_end 0 2
9 12 dirth_path_horizontal 0 2
8 12 dirth_path_horizontal 0 2
7 12 dirth_path_horizontal 0 2
6 12 dirth_path_top_left_corner 0 2
6 13 dirth_path_vertical 0 2
6 14 dirth_path_vertical 0 2
6 15 dirth_path_vertical 0 2
6 16 dirth_path_bottom_left_corner 0 2
7 16 dirth_path_horizontal 0 2
8 16 dirth_path_horizontal 0 2
9 16 dirth_path_horizontal 0 2
10 16 dirth_path_horizontal 0 2
11 16 dirth_path_horizontal 0 2
12 16 dirth_path_horizontal 0 2
13 16 dirth_path_horizontal 0 2
14 16 dirth_path_horizontal 0 2
15 16 dirth_path_horizontal 0 2
16 16 dirth_path_horizontal 0 2
17 16 dirth_path_horizontal 0 2
18 16 dirth_path_bottom_right_corner 0 2
18 15 dirth_path_vertical 0 2
18 14 dirth_path_top_right_corner 0 2
17 14 dirth_path_horizontal 0 2
16 14 dirth_path_left_end 0 2

0 0 dirt_1 1 1
1 0 dirt_2 1 1
2 0 dirt_1 1 1
3 0 dirt_2 1 1
4 0 dirt_1 1 1
5 0 dirt_2 1 1
6 0 dirt_1 1 1
7 0 dirt_2 1 1
8 0 dirt_1 1 1
9 0 dirt_2 1 1
10 0 dirt_1 1 1
11 0 dirt_2 1 1
12 0 dirt_1 1 1
13 0 dirt_2 1 1
14 0 dirt_1 1 1
15 0 dirt_2 1 1
16 0 dirt_1 1 1
17 0 dirt_2 1 1
18 0 dirt_1 1 1
19 0 dirt_2 1 1
20 0 dirt_1 1 1
21 0 dirt_2 1 1
22 0 dirt_1 1 1
23 0 dirt_2 1 1
24 0 dirt_1 1 1
0 1 dirt_1 0 1
1 1 grass_2 0 1
2 1 grass_1 0 1
3 1 grass_2 0 1
4 1 grass_1 0 1
5 1 grass_2 0 1
6 1 grass_1 0 1
7 1 grass_2 0 1
8 1 grass_1 0 1
9 1 grass_2 0 1
10 1 grass_1 0 1
11 1 grass_2 0 1
12 1 grass_1 0 1
13 1 grass_2 0 1
14 1 grass_1 0 1
15 1 grass_2 0 1
16 1 grass_1 0 1
17 1 grass_2 0 1
18 1 grass_1 0 1
19 1 grass_2 0 1
20 1 grass_1 0 1
21 1 grass_2 0 1
22 1 grass_1 0 1
23 1 grass_2 0 1
24 1 dirt_1 0 1
0 2 dirt_2 0 1
1 2 grass_1 0 1
2 2 grass_2 0 1
3 2 grass_1 0 1
4 2 grass_2 0 1
5 2 grass_1 0 1
6 2 grass_2 0 1
7 2 grass_1 0 1
8 2 grass_2 0 1
9 2 grass_1 0 1
10 2 grass_2 0 1
11 2 grass_1 0 1
12 2 grass_2 0 1
13 2 grass_1 0 1
14 2 grass_2 0 1
15 2 grass_1 0 1
16 2 grass_2 0 1
17 2 grass_1 0 1
18 2 grass_2 0 1
19 2 grass_1 0 1
20 2 grass_2 0 1
21 2 grass_1 0 1
22 2 grass_2 0 1
23 2 grass_1 0 1
24 2 dirt_1 0 1
0 3 dirt_1 0 1
1 3 grass_2 0 1
2 3 grass_1 0 1
3 3 grass_1 0 1
4 3 grass_2 0 1
5 3 grass_1 0 1
6 3 grass_1 0 1
7 3 grass_2 0 1
8 3 grass_1 0 1
9 3 grass_1 0 1
10 3 grass_2 0 1
11 3 grass_1 0 1
12 3 grass_2 0 1
13 3 grass_1 0 1
14 3 grass_1 0 1
15 3 grass_2 0 1
16 3 grass_1 0 1
17 3 grass_2 0 1
18 3 grass_1 0 1
19 3 grass_1 0 1
20 3 grass_2 0 1
21 3 grass_1 0 1
22 3 grass_2 0 1
23 3 grass_1 0 1
24 3 dirt_1 0 1
0 4 dirt_1 0 1
1 4 grass_2 0 1
2 4 grass_1 0 1
3 4 pool_top_left_corner 0 1
4 4 pool_top_center 0 1
5 4 pool_top_right_corner 0 1
6 4 grass_2 0 1
7 4 grass_1 0 1
8 4 grass_2 0 1
9 4 grass_1 0 1
10 4 grass_2 0 1
11 4 grass_1 0 1
12 4 grass_2 0 1
13 4 grass_2 0 1
14 4 grass_1 0 1
15 4 grass_2 0 1
16 4 grass_1 0 1
17 4 grass_2 0 1
18 4 grass_1 0 1
19 4 grass_2 0 1
20 4 grass_2 0 1
21 4 grass_1 0 1
22 4 grass_2 0 1
23 4 grass_1 0 1
24 4 dirt_2 0 1
0 5 dirt_2 0 1
1 5 grass_1 0 1
2 5 grass_2 0 1
3 5 pool_side_left 0 1
4 5 pool_full_water 0 1
5 5 pool_side_right 0 1
6 5 grass_2 0 1
7 5 grass_1 0 1
8 5 grass_2 0 1
9 5 grass_2 0 1
10 5 grass_1 0 1
11 5 grass_2 0 1
12 5 grass_1 0 1
13 5 grass_2 0 1
14 5 grass_1 0 1
15 5 grass_2 0 1
16 5 grass_2 0 1
17 5 grass_1 0 1
18 5 grass_2 0 1
19 5 grass_1 0 1
20 5 grass_2 0 1
21 5 grass_1 0 1
22 5 grass_2 0 1
23 5 grass_2 0 1
24 5 dirt_2 0 1
0 6 dirt_1 0 1
1 6 grass_2 0 1
2 6 grass_1 0 1
3 6 pool_bottom_left_corner 0 1
4 6 pool_bottom_center 0 1
5 6 pool_bottom_right_corner 0 1
6 6 grass_1 0 1
7 6 grass_2 0 1
8 6 grass_1 0 1
9 6 grass_2 0 1
10 6 grass_1 0 1
11 6 grass_2 0 1
12 6 grass_1 0 1
13 6 grass_2 0 1
14 6 grass_1 0 1
15 6 grass_2 0 1
16 6 grass_2 0 1
17 6 grass_1 0 1
18 6 grass_2 0 1
19 6 grass_1 0 1
20 6 grass_2 0 1
21 6 grass_1 0 1
22 6 grass_2 0 1
23 6 grass_2 0 1
24 6 dirt_1 0 1
0 7 dirt_1 0 1
1 7 grass_1 0 1
2 7 grass_2 0 1
3 7 grass_1 0 1
4 7 grass_2 0 1
5 7 grass_1 0 1
6 7 grass_2 0 1
7 7 grass_1 0 1
8 7 grass_2 0 1
9 7 grass_1 0 1
10 7 grass_2 0 1
11 7 grass_1 0 1
12 7 grass_2 0 1
13 7 grass_1 0 1
14 7 grass_2 0 1
15 7 grass_1 0 1
16 7 grass_2 0 1
17 7 grass_1 0 1
18 7 grass_2 0 1
19 7 grass_1 0 1
20 7 grass_2 0 1
21 7 grass_1 0 1
22 7 grass_2 0 1
23 7 grass_1 0 1
24 7 dirt_2 0 1
0 8 dirt_2 0 1
1 8 grass_2 0 1
2 8 grass_1 0 1
3 8 grass_2 0 1
4 8 grass_1 0 1
5 8 grass_2 0 1
6 8 grass_1 0 1
7 8 grass_2 0 1
8 8 grass_1 0 1
9 8 grass_2 0 1
10 8 grass_1 0 1
11 8 grass_2 0 1
12 8 grass_1 0 1
13 8 grass_2 0 1
14 8 grass_1 0 1
15 8 grass_2 0 1
16 8 grass_1 0 1
17 8 grass_2 0 1
18 8 grass_1 0 1
19 8 grass_2 0 1
20 8 grass_1 0 1
21 8 grass_2 0 1
22 8 grass_1 0 1
23 8 grass_2 0 1
24 8 dirt_1 0 1
0 9 dirt_1 0 1
1 9 grass_2 0 1
2 9 grass_1 0 1
3 9 grass_2 0 1
4 9 grass_1 0 1
5 9 grass_2 0 1
6 9 grass_1 0 1
7 9 grass_2 0 1
8 9 grass_1 0 1
9 9 grass_2 0 1
10 9 grass_1 0 1
11 9 grass_2 0 1
12 9 grass_1 0 1
13 9 grass_2 0 1
14 9 grass_1 0 1
15 9 grass_2 0 1
16 9 grass_1 0 1
17 9 grass_2 0 1
18 9 grass_1 0 1
19 9 grass_2 0 1
20 9 grass_1 0 1
21 9 grass_2 0 1
22 9 grass_1 0 1
23 9 grass_2 0 1
24 9 dirt_2 0 1
0 10 dirt_2 0 1
1 10 grass_2 0 1
2 10 grass_1 0 1
3 10 grass_2 0 1
4 10 grass_1 0 1
5 10 grass_2 0 1
6 10 grass_1 0 1
7 10 grass_2 0 1
8 10 grass_1 0 1
9 10 grass_2 0 1
10 10 grass_1 0 1
11 10 grass_2 0 1
12 10 grass_1 0 1
13 10 grass_2 0 1
14 10 grass_1 0 1
15 10 grass_2 0 1
16 10 grass_1 0 1
17 10 grass_2 0 1
18 10 grass_1 0 1
19 10 grass_2 0 1
20 10 grass_1 0 1
21 10 grass_2 0 1
22 10 grass_1 0 1
23 10 grass_2 0 1
24 10 dirt_1 0 1
0 11 dirt_1 0 1
1 11 grass_2 0 1
